price,negotiable,bedrooms,bathrooms,city,district,house_size_sqft,land_size_perches
80000000.0,0,2,2,166,4,1800.0,12.4
65000000.0,1,5,4,166,4,3800.0,7.0
15000000.0,0,3,2,166,4,2850.0,8.0
102000000.0,1,5,5,166,4,3800.0,38.5
33000000.0,0,4,2,166,4,2850.0,12.0
31000000.0,1,3,2,166,4,3400.0,8.2
23500000.0,0,2,1,166,4,1150.0,6.5
18800000.0,1,3,1,166,4,2850.0,7.0
34500000.0,0,3,3,166,4,2100.0,7.0
170000000.0,1,2,1,113,4,950.0,11.0
18000000.0,1,2,2,166,4,2850.0,11.0
14000000.0,0,2,2,166,4,2850.0,3.25
50000000.0,1,5,3,166,4,3192.0,17.5
200000000.0,1,9,9,166,15,2850.0,80.0
35000000.0,0,4,4,166,4,2850.0,13.0
28500000.0,0,3,2,166,4,2850.0,9.8
3950000.0,1,2,1,29,4,2850.0,11.0
23000000.0,0,2,1,50,6,2850.0,8.5
5500000.0,0,3,1,109,6,2850.0,10.0
60000000.0,1,5,2,92,13,2850.0,200.0
