negotiable,bedrooms,bathrooms,city,district,house_size_sqft,land_size_perches,price
1,4,4,147,4,3500.0,7.0,62000000.0
1,2,2,166,4,2850.0,8.5,13500000.0
1,3,2,50,6,2850.0,7.5,13000000.0
0,4,3,33,4,2800.0,9.5,150000000.0
1,3,1,50,6,2850.0,21.0,6000000.0
1,4,1,119,6,2850.0,10.0,5500000.0
0,3,2,50,6,2850.0,6.25,16000000.0
0,4,1,136,13,2850.0,26.0,8500000.0
0,3,1,50,6,2850.0,5.0,10000000.0
0,1,1,50,6,2850.0,45.0,5200000.0
1,2,1,58,4,2850.0,21.0,3000000.0
0,4,3,166,4,2850.0,8.0,22000000.0
0,3,2,166,4,1300.0,8.5,19500000.0
0,4,1,166,4,1500.0,33.4,10000000.0
1,2,2,76,10,2850.0,105.0,19500000.0
0,3,1,8,4,2850.0,6.0,10000000.0
1,4,4,166,4,2850.0,5.0,35000000.0
0,2,2,166,4,2850.0,3.5,13000000.0
0,5,1,62,9,2850.0,10.0,32500000.0
1,2,2,54,4,2850.0,6.0,9000000.0
1,3,1,166,11,2850.0,12.0,9000000.0
0,1,1,70,20,2850.0,102.0,10000000.0
1,3,1,165,6,2850.0,11.0,9500000.0
1,3,1,13,9,2850.0,11.0,22500000.0
0,4,3,166,4,3250.0,8.5,52500000.0
0,3,1,50,6,2850.0,40.0,3700000.0
0,3,3,166,6,2850.0,11.0,8000000.0
0,3,1,166,4,2635.0,10.0,10500000.0
1,6,6,61,4,2850.0,15.0,14500000.0
0,3,2,166,4,2850.0,9.0,18500000.0
1,3,1,61,4,2850.0,7.0,14000000.0
0,2,1,70,20,2850.0,37.5,5500000.0
0,3,1,50,6,2850.0,15.0,4400000.0
0,1,1,50,6,2850.0,18.5,2000000.0
1,4,3,88,4,3700.0,15.7,60000000.0
0,3,2,166,4,1500.0,16.0,47000000.0
1,4,5,166,4,2850.0,6.0,59000000.0
1,4,2,166,4,2540.0,11.0,60000000.0
0,2,2,166,4,2850.0,5.0,40000000.0
1,5,3,62,9,2700.0,10.0,31500000.0
0,3,1,123,4,2850.0,11.0,5800000.0
1,3,2,50,6,1300.0,18.5,27500000.0
1,3,2,166,4,2850.0,4.5,2250000.0
0,3,1,50,6,2850.0,14.5,4500000.0
0,5,2,89,4,2850.0,8.0,46000000.0
0,2,1,48,5,2850.0,31.0,4650000.0
0,4,2,64,6,2850.0,8.0,15000000.0
1,4,2,73,9,2500.0,38.5,15500000.0
0,4,2,82,4,2850.0,11.0,37500000.0
0,5,1,156,13,2850.0,1.0,7000000.0
0,3,1,62,9,2850.0,10.0,11000000.0
1,5,1,76,10,2850.0,110.0,27500000.0
0,4,3,166,4,3400.0,10.0,70000000.0
0,2,2,31,4,2850.0,11.0,40000000.0
0,3,2,50,6,2850.0,10.0,26500000.0
0,1,1,166,4,2850.0,16.0,3800000.0
0,3,1,73,9,2850.0,9.0,3600000.0
1,3,1,58,4,2850.0,20.5,10000000.0
0,3,1,135,18,2850.0,80.0,1900000.0
1,3,1,91,10,2850.0,11.5,15000000.0
0,4,3,166,4,2850.0,15.8,68000000.0
0,1,1,157,6,2419.0,20.0,20000000.0
1,5,4,166,4,3000.0,10.0,37500000.0
0,3,2,166,4,2850.0,11.0,13500000.0
1,3,1,73,9,2850.0,10.0,5300000.0
0,4,3,61,4,2850.0,8.5,21000000.0
1,4,4,166,4,3500.0,10.0,49500000.0
0,3,1,89,4,2850.0,15.0,10500000.0
1,5,3,166,4,3800.0,10.0,80000000.0
1,2,1,29,4,2850.0,11.0,2500000.0
1,3,1,166,4,2850.0,11.0,19500000.0
1,4,3,166,4,3800.0,6.0,71000000.0
0,3,1,50,6,2850.0,10.0,2750000.0
0,4,1,121,4,2850.0,6.5,16500000.0
0,6,6,166,4,5500.0,11.0,250000000.0
0,4,2,92,13,3600.0,15.0,37000000.0
0,3,1,62,9,2850.0,22.0,9000000.0
1,3,1,73,9,2850.0,9.0,7000000.0
1,3,1,96,4,2850.0,5.3,17500000.0
1,2,1,126,9,2850.0,12.5,26000000.0
0,2,1,126,9,2850.0,10.0,32000000.0
0,4,2,64,6,2850.0,11.0,34000000.0
0,3,2,166,4,2850.0,10.0,25000000.0
0,3,2,166,4,2850.0,10.0,17500000.0
1,3,1,58,4,2850.0,24.0,7500000.0
0,3,2,8,4,2850.0,12.0,18000000.0
0,2,1,166,4,2850.0,6.9,16500000.0
0,4,2,166,4,2850.0,6.5,26000000.0
0,3,1,126,9,2850.0,10.0,13000000.0
0,4,1,126,9,2850.0,13.0,13000000.0
0,4,1,159,7,2850.0,11.0,2200000.0
1,3,1,166,4,1600.0,31.0,62000000.0
0,3,1,73,9,2850.0,10.0,16500000.0
1,1,1,166,4,2850.0,7.0,65000000.0
1,3,1,62,9,1340.0,12.0,19000000.0
0,7,3,64,6,2850.0,15.75,40000000.0
0,3,2,50,6,2850.0,5.0,11000000.0
0,5,4,166,4,2850.0,12.3,58000000.0
1,3,1,4,7,2850.0,80.0,9000000.0
0,4,1,85,6,2850.0,10.0,6000000.0
1,1,2,133,4,2850.0,6.3,13500000.0
0,4,1,149,15,2850.0,30.0,12500000.0
1,3,1,166,6,2850.0,10.0,12000000.0
0,1,1,101,15,2850.0,30.0,140000000.0
0,3,3,50,6,2760.0,6.2,60000000.0
1,5,2,76,10,2850.0,11.0,43000000.0
0,4,4,166,4,2850.0,25.7,120000000.0
0,3,1,6,1,2850.0,46.0,2800000.0
1,2,1,50,6,2850.0,6.8,3000000.0
0,5,5,35,4,2850.0,11.2,375000000.0
1,5,3,166,4,2850.0,11.0,49000000.0
0,4,2,75,6,2850.0,6.0,29000000.0
1,2,1,67,10,2850.0,12.0,7000000.0
0,4,3,147,4,3000.0,8.5,47500000.0
0,3,2,166,4,1200.0,6.7,26500000.0
1,1,1,166,4,2850.0,2.5,6500000.0
1,4,2,33,4,2850.0,18.3,140000000.0
0,4,1,92,13,2850.0,65.0,6000000.0
0,2,1,50,6,2850.0,7.0,3350000.0
0,6,3,166,4,2850.0,7.9,55000000.0
1,2,1,166,4,2850.0,2.5,10000.0
0,4,2,98,4,2850.0,8.0,26000000.0
1,2,2,157,6,2850.0,5.5,6000000.0
1,5,3,166,4,2850.0,10.0,18500000.0
1,3,1,66,6,2850.0,7.5,18500000.0
1,3,2,84,6,2850.0,10.0,27500000.0
0,2,1,146,7,2850.0,20.0,7500000.0
1,3,1,81,6,1563.0,3.0,17000000.0
0,4,2,166,4,2850.0,12.0,16000000.0
0,6,4,166,6,2850.0,32.0,391000000.0
0,1,1,8,4,2850.0,25.0,18500000.0
1,5,3,166,4,3500.0,21.0,69500000.0
0,3,1,105,4,2850.0,10.0,13000000.0
0,3,1,13,9,2850.0,13.0,14000000.0
